Time,CH A,
1.87594E-5,3.2788E-1,
1.87844E-5,4.0788E-1,
1.88094E-5,3.6788E-1,
1.88344E-5,4.2788E-1,
1.88594E-5,3.6788E-1,
1.88844E-5,4.2788E-1,
1.89095E-5,3.8788E-1,
1.89345E-5,4.4788E-1,
1.89595E-5,3.8788E-1,
1.89845E-5,4.4788E-1,
1.90095E-5,4.0788E-1,
1.90345E-5,4.6788E-1,
1.90595E-5,4.0788E-1,
1.90845E-5,4.6788E-1,
1.91096E-5,4.2788E-1,
1.91346E-5,4.8788E-1,
1.91596E-5,4.4788E-1,
1.91846E-5,5.0788E-1,
1.92096E-5,4.4788E-1,
1.92346E-5,5.0788E-1,
1.92596E-5,4.6788E-1,
1.92846E-5,5.0788E-1,
1.93097E-5,4.6788E-1,
1.93347E-5,5.0788E-1,
1.93597E-5,4.8788E-1,
1.93847E-5,5.2788E-1,
1.94097E-5,4.8788E-1,
1.94347E-5,5.4788E-1,
1.94597E-5,5.0788E-1,
1.94847E-5,5.4788E-1,
1.95098E-5,5.0788E-1,
1.95348E-5,5.6788E-1,
1.95598E-5,5.2788E-1,
1.95848E-5,5.6788E-1,
1.96098E-5,5.4788E-1,
1.96348E-5,5.8788E-1,
1.96598E-5,5.4788E-1,
1.96848E-5,5.8788E-1,
1.97099E-5,5.4788E-1,
1.97349E-5,6.0788E-1,
1.97599E-5,5.6788E-1,
1.97849E-5,6.2788E-1,
1.98099E-5,5.8788E-1,
1.98349E-5,6.2788E-1,
1.98599E-5,5.8788E-1,
1.98849E-5,6.4788E-1,
1.991E-5,5.8788E-1,
1.9935E-5,6.4788E-1,
1.996E-5,6.0788E-1,
1.9985E-5,6.4788E-1,
2.001E-5,6.0788E-1,
2.0035E-5,6.6788E-1,
2.006E-5,6.2788E-1,
2.0085E-5,6.6788E-1,
2.01101E-5,6.2788E-1,
2.01351E-5,6.8788E-1,
2.01601E-5,6.4788E-1,
2.01851E-5,7.0788E-1,
2.02101E-5,6.6788E-1,
2.02351E-5,7.0788E-1,
2.02601E-5,6.6788E-1,
2.02851E-5,7.2788E-1,
2.03102E-5,6.8788E-1,
2.03352E-5,7.4788E-1,
2.03602E-5,7.0788E-1,
2.03852E-5,7.4788E-1,
2.04102E-5,7.0788E-1,
2.04352E-5,7.6788E-1,
2.04602E-5,7.0788E-1,
2.04852E-5,7.6788E-1,
2.05103E-5,7.2788E-1,
2.05353E-5,7.8788E-1,
2.05603E-5,7.4788E-1,
2.05853E-5,7.8788E-1,
2.06103E-5,7.6788E-1,
2.06353E-5,8.0788E-1,
2.06603E-5,7.6788E-1,
2.06853E-5,8.2788E-1,
2.07104E-5,7.8788E-1,
2.07354E-5,8.4788E-1,
2.07604E-5,7.8788E-1,
2.07854E-5,8.6788E-1,
2.08104E-5,8.0788E-1,
2.08354E-5,8.6788E-1,
2.08604E-5,8.2788E-1,
2.08854E-5,8.8788E-1,
2.09105E-5,8.4788E-1,
2.09355E-5,8.8788E-1,
2.09605E-5,8.4788E-1,
2.09855E-5,9.0788E-1,
2.10105E-5,8.6788E-1,
2.10355E-5,9.0788E-1,
2.10605E-5,8.6788E-1,
