[s],CH1[V]
6.28440E-02,8.485E-03
6.28480E-02,8.485E-03
6.28520E-02,8.485E-03
6.28560E-02,4.845E-04
6.28600E-02,4.845E-04
6.28640E-02,8.485E-03
6.28680E-02,4.845E-04
6.28720E-02,8.485E-03
6.28760E-02,4.845E-04
6.28800E-02,8.485E-03
6.28840E-02,8.485E-03
6.28880E-02,1.648E-02
6.28920E-02,1.648E-02
6.28960E-02,1.648E-02
6.29000E-02,8.485E-03
6.29040E-02,8.485E-03
6.29080E-02,1.648E-02
6.29120E-02,8.485E-03
6.29160E-02,8.485E-03
6.29200E-02,4.845E-04
6.29240E-02,8.485E-03
6.29280E-02,1.648E-02
6.29320E-02,8.485E-03
6.29360E-02,1.648E-02
6.29400E-02,1.648E-02
6.29440E-02,1.648E-02
6.29480E-02,8.485E-03
6.29520E-02,1.648E-02
6.29560E-02,1.648E-02
6.29600E-02,1.648E-02
6.29640E-02,2.448E-02
6.29680E-02,1.648E-02
6.29720E-02,1.648E-02
6.29760E-02,8.485E-03
6.29800E-02,1.648E-02
6.29840E-02,1.648E-02
6.29880E-02,1.648E-02
6.29920E-02,1.648E-02
6.29960E-02,1.648E-02
6.30000E-02,2.448E-02
6.30040E-02,2.448E-02
6.30080E-02,2.448E-02
6.30120E-02,2.448E-02
6.30160E-02,2.448E-02
6.30200E-02,1.648E-02
6.30240E-02,1.648E-02
6.30280E-02,1.648E-02
6.30320E-02,1.648E-02
6.30360E-02,8.485E-03
6.30400E-02,1.648E-02
6.30440E-02,1.648E-02
6.30480E-02,1.648E-02
6.30520E-02,2.448E-02
6.30560E-02,4.048E-02
6.30600E-02,3.248E-02
6.30640E-02,2.448E-02
6.30680E-02,4.048E-02
6.30720E-02,4.048E-02
6.30760E-02,4.048E-02
6.30800E-02,4.048E-02
6.30840E-02,4.048E-02
6.30880E-02,4.048E-02
6.30920E-02,4.048E-02
6.30960E-02,4.048E-02
6.31000E-02,3.248E-02
6.31040E-02,4.048E-02
6.31080E-02,4.048E-02
6.31120E-02,3.248E-02
6.31160E-02,3.248E-02
6.31200E-02,3.248E-02
6.31240E-02,3.248E-02
6.31280E-02,3.248E-02
6.31320E-02,2.448E-02
6.31360E-02,3.248E-02
6.31400E-02,2.448E-02
6.31440E-02,2.448E-02
6.31480E-02,2.448E-02
6.31520E-02,1.648E-02
6.31560E-02,8.485E-03
6.31600E-02,2.448E-02
6.31640E-02,2.448E-02
6.31680E-02,1.648E-02
6.31720E-02,1.648E-02
6.31760E-02,8.485E-03
6.31800E-02,1.648E-02
6.31840E-02,1.648E-02
6.31880E-02,1.648E-02
6.31920E-02,1.648E-02
6.31960E-02,1.648E-02
6.32000E-02,1.648E-02
6.32040E-02,1.648E-02
6.32080E-02,8.485E-03
6.32120E-02,1.648E-02
6.32160E-02,2.448E-02
6.32200E-02,2.448E-02
6.32240E-02,2.448E-02
6.32280E-02,2.448E-02
6.32320E-02,1.648E-02
6.32360E-02,2.448E-02
6.32400E-02,1.648E-02
6.32440E-02,1.648E-02
6.32480E-02,1.648E-02
6.32520E-02,1.648E-02
6.32560E-02,1.648E-02
6.32600E-02,2.448E-02
6.32640E-02,2.448E-02
6.32680E-02,2.448E-02
6.32720E-02,1.648E-02
6.32760E-02,2.448E-02
6.32800E-02,2.448E-02
6.32840E-02,2.448E-02
6.32880E-02,1.648E-02
6.32920E-02,2.448E-02
6.32960E-02,2.448E-02
6.33000E-02,1.648E-02
6.33040E-02,1.648E-02
6.33080E-02,1.648E-02
6.33120E-02,1.648E-02
6.33160E-02,1.648E-02
6.33200E-02,8.485E-03
6.33240E-02,8.485E-03
6.33280E-02,1.648E-02
6.33320E-02,1.648E-02
6.33360E-02,8.485E-03
6.33400E-02,8.485E-03
6.33440E-02,2.448E-02
6.33480E-02,1.648E-02
6.33520E-02,2.448E-02
6.33560E-02,1.648E-02
6.33600E-02,1.648E-02
6.33640E-02,8.485E-03
6.33680E-02,1.648E-02
6.33720E-02,2.448E-02
6.33760E-02,1.648E-02
6.33800E-02,2.448E-02
6.33840E-02,2.448E-02
6.33880E-02,1.648E-02
6.33920E-02,1.648E-02
